Name,Age,Country,Club,Value,Wages
L. Messi,31,Argentina,FC Barcelona,€110.5M,€565K
Cristiano Ronaldo,33,Portugal,Juventus,€77M,€405K
Neymar Jr,26,Brazil,Paris Saint-Germain,€118.5M,€290K
De Gea,27,Spain,Manchester United,€72M,€260K
K. De Bruyne,27,Belgium,Manchester City,€102M,€355K
E. Hazard,27,Belgium,Chelsea,€93M,€340K
L. Modric,32,Croatia,Real Madrid,€67M,€420K
L. Suárez,31,Uruguay,FC Barcelona,€80M,€455K
Sergio Ramos,32,Spain,Real Madrid,€51M,€380K
J. Oblak,25,Slovenia,Atlético Madrid,€68M,€94K
R. Lewandowski,29,Poland,FC Bayern München,€77M,€205K
T. Kroos,28,Germany,Real Madrid,€76.5M,€355K
D. Godín,32,Uruguay,Atlético Madrid,€44M,€125K
David Silva,32,Spain,Manchester City,€60M,€285K
N. Kanté,27,France,Chelsea,€63M,€225K
P. Dybala,24,Argentina,Juventus,€89M,€205K
H. Kane,24,England,Tottenham Hotspur,€83.5M,€205K
A. Griezmann,27,France,Atlético Madrid,€78M,€145K
M. ter Stegen,26,Germany,FC Barcelona,€58M,€240K
T. Courtois,26,Belgium,Real Madrid,€53.5M,€240K
